Symbol,UMAP_1,UMAP_2,Group,Total_Hits,NER,HR,NHEJ,BER,Others
CHEK2,-2.770062,0.555541,Hybrid,23,0.0,0.13043478260869565,0.0,0.043478260869565216,0.8260869565217391
H2AX,-3.5998216,1.1984248,Hybrid,24,0.125,0.3333333333333333,0.041666666666666664,0.125,0.375
RPS3,-1.7899618,3.7251565,Hybrid,6,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666666,0.0
CBX5,-4.5080824,-0.54373395,Hybrid,9,0.0,0.7777777777777778,0.0,0.1111111111111111,0.1111111111111111
CBX3,-4.311994,3.4230988,Hybrid,10,0.4,0.5,0.0,0.0,0.1
PARP1,-2.5949519,3.5616744,Hybrid,24,0.3333333333333333,0.3333333333333333,0.041666666666666664,0.20833333333333334,0.08333333333333333
XRCC5,-3.055928,2.135281,Hybrid,15,0.06666666666666667,0.3333333333333333,0.5333333333333333,0.0,0.06666666666666667
PRKDC,-3.3097038,1.7716547,Hybrid,22,0.045454545454545456,0.18181818181818182,0.4090909090909091,0.0,0.36363636363636365
BCLAF1,-2.723477,3.2574904,Hybrid,4,0.25,0.25,0.0,0.25,0.25
ATAD3A,-4.282192,4.4411974,Hybrid,2,0.5,0.5,0.0,0.0,0.0
ERCC6L2,-3.4150553,2.3479362,Hybrid,3,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0
LMNA,-4.1874957,-0.94614524,Hybrid,7,0.0,0.8571428571428571,0.0,0.0,0.14285714285714285
MACROD1,-3.015621,0.5614569,Others,1,0.0,0.0,0.0,0.0,1.0
MAPT,-4.4157715,4.3573,Hybrid,2,0.5,0.5,0.0,0.0,0.0
MTA1,-4.736354,-0.8594541,Hybrid,5,0.2,0.8,0.0,0.0,0.0
NPM1,-3.9337912,0.8153906,Hybrid,8,0.0,0.5,0.0,0.125,0.375
NUCKS1,-4.120867,0.14239979,Hybrid,6,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333
OTUB1,-2.3456903,2.8371334,None,0,0.0,0.0,0.0,0.0,0.0
PARK7,-2.0946567,4.382731,Hybrid,5,0.4,0.2,0.2,0.2,0.0
PPP1CA,-2.961461,3.7674751,Hybrid,5,0.4,0.4,0.0,0.2,0.0
RAD52,-4.5530906,0.22035564,Hybrid,11,0.09090909090909091,0.6363636363636364,0.0,0.0,0.2727272727272727
RPA1,-3.6742005,3.084042,Hybrid,30,0.3,0.43333333333333335,0.06666666666666667,0.1,0.1
SFN,-2.8270116,0.79596984,Hybrid,9,0.1111111111111111,0.1111111111111111,0.0,0.0,0.7777777777777778
UBA1,-2.963875,5.396064,NER,4,1.0,0.0,0.0,0.0,0.0
UBE2N,-3.5881839,4.9243073,Hybrid,12,0.5833333333333334,0.3333333333333333,0.0,0.0,0.08333333333333333
UBE2V2,-3.0575593,4.716028,Hybrid,4,0.5,0.25,0.0,0.0,0.25
USP7,-3.917517,5.123567,Hybrid,14,0.5714285714285714,0.35714285714285715,0.0,0.07142857142857142,0.0
VCP,-4.203411,4.209366,Hybrid,2,0.5,0.5,0.0,0.0,0.0
XRCC6,-3.1254015,2.38644,Hybrid,11,0.0,0.36363636363636365,0.6363636363636364,0.0,0.0
MEN1,-4.259047,-1.4182209,HR,3,0.0,1.0,0.0,0.0,0.0
HTATSF1,-4.4240575,-1.5846747,HR,3,0.0,1.0,0.0,0.0,0.0
TOP2A,-4.4054875,2.5686727,Hybrid,22,0.2727272727272727,0.5454545454545454,0.0,0.045454545454545456,0.13636363636363635
XRCC1,-2.3837507,4.05527,Hybrid,16,0.4375,0.25,0.0625,0.25,0.0
ERCC3,-2.9561636,5.221628,Hybrid,14,0.7142857142857143,0.21428571428571427,0.0,0.0,0.07142857142857142
TAF1,-4.181704,2.8509638,Hybrid,6,0.3333333333333333,0.5,0.0,0.0,0.16666666666666666
SFPQ,-4.36449,-0.10641905,Hybrid,10,0.0,0.6,0.1,0.2,0.1
MTREX,-2.5118687,5.254173,Hybrid,3,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
LIG3,-1.9507201,4.06853,Hybrid,15,0.3333333333333333,0.2,0.13333333333333333,0.3333333333333333,0.0
HMGA2,-2.3572373,4.236434,Hybrid,17,0.4117647058823529,0.29411764705882354,0.17647058823529413,0.11764705882352941,0.0
XPC,-3.0019002,4.9252276,Hybrid,19,0.5789473684210527,0.15789473684210525,0.0,0.05263157894736842,0.21052631578947367
TP53BP1,-4.361031,0.5683093,Hybrid,20,0.1,0.55,0.1,0.0,0.25
ATR,-3.0130508,1.1515074,Hybrid,26,0.15384615384615385,0.2692307692307692,0.0,0.0,0.5769230769230769
SNW1,-2.7554982,1.6273549,Hybrid,3,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333
MDC1,-3.2184346,0.90970427,Hybrid,18,0.1111111111111111,0.2222222222222222,0.05555555555555555,0.0,0.6111111111111112
CHD4,-3.9159894,-1.5044758,HR,5,0.0,1.0,0.0,0.0,0.0
NIPBL,-4.81756,-0.26729712,Hybrid,9,0.1111111111111111,0.6666666666666666,0.0,0.1111111111111111,0.1111111111111111
POGZ,-4.1143727,4.820523,Hybrid,7,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0
RBBP6,-2.181378,3.6578753,Hybrid,3,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
SMC5,-4.692308,3.2308807,Hybrid,12,0.3333333333333333,0.5833333333333334,0.08333333333333333,0.0,0.0
DDB2,-2.6175854,4.8772154,Hybrid,18,0.6111111111111112,0.1111111111111111,0.0,0.05555555555555555,0.2222222222222222
CDC5L,-4.2196803,0.98555684,Hybrid,6,0.16666666666666666,0.5,0.0,0.0,0.3333333333333333
NABP2,-4.215171,-0.41317087,Hybrid,4,0.0,0.75,0.0,0.0,0.25
CHCHD6,-2.243135,2.8167348,None,0,0.0,0.0,0.0,0.0,0.0
INIP,-4.1209517,-1.3309884,HR,2,0.0,1.0,0.0,0.0,0.0
ZMYND8,-3.628287,5.389532,Hybrid,12,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
