Symbol,UniProtKB
CHEK2,O96017-9
H2AX,P16104
RPS3,P23396-2
CBX5,P45973
CBX3,Q13185
PARP1,P09874
XRCC5,P13010
PRKDC,P78527
BCLAF1,Q9NYF8
ATAD3A,Q9NVI7
ERCC6L2,Q5T890
LMNA,P02545
MACROD1,Q9BQ69
MAPT,P10636
MTA1,Q13330
NPM1,P06748
NUCKS1,Q9H1E3
OTUB1,Q96FW1
PARK7,Q99497
PPP1CA,P62136
RAD52,P43351
RPA1,P27694
SFN,P31947
UBA1,P22314
UBE2N,P61088
UBE2V2,Q15819
USP7,Q93009
VCP,P55072
XRCC6,P12956
MEN1,O00255
HTATSF1,O43719
TOP2A,P11388
XRCC1,P18887
ERCC3,P19447
TAF1,P21675
SFPQ,P23246
MTREX,P42285
LIG3,P49916
HMGA2,P52926
XPC,Q01831
TP53BP1,Q12888
ATR,Q13535
SNW1,Q13573
MDC1,Q14676
CHD4,Q14839
NIPBL,Q6KC79
POGZ,Q7Z3K3
RBBP6,Q7Z6E9
SMC5,Q8IY18
DDB2,Q92466
CDC5L,Q99459
NABP2,Q9BQ15
CHCHD6,Q9BRQ6
INIP,Q9NRY2
ZMYND8,Q9ULU4
